Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
ZZ46VPJ6,journalArticle,1998,"Button, G; Sharrock, W",The organizational accountability of technological work,SOCIAL STUDIES OF SCIENCE,,0306-3127,10.1177/030631298028001003,,"We address a problem examined by sociologists of 'Big Science': the coordination of individuals on large-scale projects - in this case, industrial technology projects. We consider co-ordination to be a problem of social order which can be addressed through ethnomethodology's understanding of accountable action. We propose that the technology producers studied attend to the problem of the coordination of their work in the design of their actions and interactions as organizationally accountable. We subsequently examine the methodical practices through which they interrelate their actions within an organizational context, and thus organize the co-ordination of their technological work and the production of their technology outcomes.",1998-02,2/20/23 14:05,2/20/23 14:05,,73-102,,1,28,,,,,,,,,,English,,,,WOS:000073103300003,,,,,/Users/de51/Zotero/storage/TWWDYQLS/Button and Sharrock - 1998 - The organizational accountability of technological.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHX2H4G7,journalArticle,2006,"Spinardi, G","Science, Technology, and the Cold War: The Military Uses of the Jodrell Bank Radio Telescope",COLD WAR HISTORY,,1468-2745,10.1080/14682740600795428,,"A post-war symbol of Big Science in the UK, and primarily built for scientific purposes, the large radio telescope at Jodrell Bank was nevertheless caught up in the politics of the Cold War. This occurred not because the UK government sought to utilise the telescope's potential for space surveillance (for example, to observe satellites or obtain warning of ballistic missiles) but rather as result of Bernard Lovell's struggle to obtain funding to meet the escalating construction costs. Drawing upon files in the UK National Archives, this paper documents the attempts (with limited success) that Lovell made to create military missions for his telescope, and thus gain support.",2006,2/20/23 14:05,2/20/23 14:05,,279-300,,3,6,,,,,,,,,,English,,,,WOS:000207947300001,,,,,"/Users/de51/Zotero/storage/BNHDK3TI/Spinardi - 2006 - Science, Technology, and the Cold War The Militar.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9G7YWRTN,journalArticle,2002,"Kaiser, D","Cold War requisitions, scientific manpower, and the production of American physicists after World War II",HISTORICAL STUDIES IN THE PHYSICAL AND BIOLOGICAL SCIENCES,,0890-9997,10.1525/hsps.2002.33.1.131,,"Beginning most explicitly with the American involvement in the Korean War, and continuing unabated until 1970, the demand for Ph.D.-trained physicists in the United States followed a particular Cold War logic of ""manpower"" and requisitions. This logic, rehearsed by senior physicists, university administrators, government commissions, individual senators, and newspaper reporters from across the country argued that young graduate students in physics constituted the nation's most precious resource. The purported need to train ever-larger numbers of physics graduate students was often used to justify the structural rearrangements associated with ""big science,"" from huge federally-subsidized budgets to factory-sized equipment. The exigencies of training roomfuls of graduate students, rather than mentoring handfuls of disciples, reinforced the prevailing American pragmatic, instrumentalist approach to theory.",2002,2/20/23 14:05,2/20/23 14:05,,131-159,,,33,,,,,,,,,,English,,,,WOS:000180663700007,,,,,,,SCIENCE; EDUCATION; UNITED-STATES; SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7KXCFKJV,journalArticle,2021,"Konnov, V",Psychological theory as administrative politics: Boris Lomov's systems approach in the context of the Soviet science establishment,HISTORY OF THE HUMAN SCIENCES,,0952-6951,10.1177/0952695121991966,,"The article is a study into the advent of the 'systems approach' in Soviet psychology in the 1970s. This arose mainly through the theoretical publications of B. F. Lomov, written after he had been appointed director of the newly established Institute of Psychology. These publications are examined as reflections of those interests related to the sociopolitical role of the director of this leading psychology institution, which was officially charged with building a common theoretical and methodological framework for all Soviet psychology. The main goal of these texts, predetermined by the role of their author, was to advance a theoretical scheme that made possible a formal unification of the schools of psychology, and which at the same time promoted an image of psychology as a research field that was both capable of achieving practically applicable results and compatible with the new 'big science' trend.",2021-07,2/20/23 14:05,2/20/23 14:05,,218-242,,4-Mar,34,,,,,,,,,,English,,,,WOS:000634041000001,,,,,/Users/de51/Zotero/storage/9XPAZVZC/Konnov - 2021 - Psychological theory as administrative politics B.pdf,,activity theory; COLD-WAR; history of psychology; Institute of Psychology of the Academy of Sciences of the USSR; Soviet psychology; systems approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NF736DN3,book,2018,"Rodriguez, G; Banos, JE; Carrio, M; Informat Resources Management Assoc",Creativity Development Through Inquiry-Based Learning in Biomedical Sciences,,978-1-5225-3159-3,,,,"The increasing complexity of biomedical research has led to new models for collaborative research at large scale. Big science projects require multidisciplinary teams and skills, such as creativity, to foster innovation. Higher education can play an important role in fostering creativity with active-learning strategies, such as the Inquiry-Based Learning (IBL) approach. In this chapter, we explain how the Universitat Pompeu Fabra (UPF) in Barcelona, Spain, used IBL to bring medicine and human biology students together to find creative solutions to solve a challenging problem in biomedicine. In this interprofessional experience, students were taught creative techniques in a creativity workshop. The positive results, which were highlighted by external evaluators for their high quality, demonstrate the value of these collaborative projects in encouraging creativity. We propose that integrating the IBL pedagogical methodology with creative techniques and interprofessionalism is a valuable approach for fostering students' creativity and generative and research skills.",2018,2/20/23 14:05,2/20/23 14:05,,,255,,,,,,"BIOMEDICAL ENGINEERING: CONCEPTS, METHODOLOGIES, TOOLS, AND APPLICATIONS",,,,,,English,,,,WOS:000468557200011,,,Pages: 277 DOI: 10.4018/978-1-5225-3158-6.ch010,,,,EDUCATION; BIOLOGY; SCIENTIFIC CREATIVITY; STUDENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQAWQEBL,journalArticle,2017,"An, J; Kim, N; Kan, MY; Chandrasekaran, MK; Song, M",Exploring characteristics of highly cited authors according to citation location and content,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,,2330-1635,10.1002/asi.23834,,"Big Science and cross-disciplinary collaborations have reshaped the intellectual structure of research areas. A number of works have tried to uncover this hidden intellectual structure by analyzing citation contexts. However, none of them analyzed by document logical structures such as sections. The two major goals of this study are to find characteristics of authors who are highly cited section-wise and to identify the differences in section-wise author networks. This study uses 29,158 of research articles culled from the ACL Anthology, which hosts articles on computational linguistics and natural language processing. We find that the distribution of citations across sections is skewed and that a different set of highly cited authors share distinct academic characteristics, according to their citation locations. Furthermore, the author networks based on citation context similarity reveal that the intellectual structure of a domain differs across different sections.",2017-08,2/20/23 14:05,2/20/23 14:05,,1975-1988,,8,68,,,,,,,,,,English,,,,WOS:000405737300014,,,,,/Users/de51/Zotero/storage/VIBLHAK3/An et al. - 2017 - Exploring characteristics of highly cited authors .pdf,,SCIENCE; INDEXES; PATTERNS; ARTICLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QNVY2T35,conferencePaper,1998,"Josephson, PR",What can we learn from the slow pace of reform of basic research in Russia and Ukraine?,,1387-6708,,,,"Policy analysts abroad, as well as scientists in Russia and Ukraine, report mainly on the failure of attempts to reform basic research in these ex-Soviet countries. Implications are explained in different ways. In this paper it is argued that the current crisis in science is not only a mere question of budget constraints, or the overwhelming poverty of the R&D sector. The massive size of military and space research and the persistent Soviet legacy (e.g. the maintenance of the status quo of the Academy of Sciences, the cultural resistance to change institutions and structures, the continued reliance on big science approaches to little science problems, etc.) explain why Russian and Ukrainian scientists have great difficulties in bringing about reform. Western governments and organisations should encourage peer review, decentralisation of science policy, a shift to smaller programmes and greater support in the civilian sector in part through the funds they provide to Russian and Ukrainian scientists.",1998,2/20/23 14:05,2/20/23 14:05,,141-149,,,23,,,,,,,,,,English,,,,WOS:000074757600013,,,,,,,,,"Meske, W; MosoniFried, J; Etzkowitz, H; Nesvetailov, G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSFORMING SCIENCE AND TECHNOLOGY SYSTEMS - THE ENDLESS TRANSITION?,,,,,,,,,,,,,,,
7LTVDVB3,book,2016,"Huang, CJ",Public Communication of Science and Technology in Taiwan,,978-981-287-472-6,,,,"Science and technology has a prominent influence in the modern world. From the transition of the little science to the big science, there are many different factors involved in the development of science. How to improve the public understanding of science is going to be an important issue for most societies and cultures, especially in Taiwan, where technological industries play an important role in the economy by combining both negative and positive effects. Based on in-depth studies and careful literature review, this chapter explores the relationships among science education, science communication, and social studies of science in Taiwan. According to the implication, and compared with the new trend of international studies, this chapter aims to build a new developmental diagram depicting public communication of science and technology in Taiwan. These results would likely provide a solid base from which the different academic groups may communicate, interact, and thus benefit from its usage.",2016,2/20/23 14:05,2/20/23 14:05,,,279,,,,,,SCIENCE EDUCATION RESEARCH AND PRACTICES IN TAIWAN: CHALLENGES AND OPPORTUNITIES,,,,,,English,,,,WOS:000445477400018,,,Pages: 297 DOI: 10.1007/978-981-287-472-6_14,,,,PRESS,,"Chiu, MH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZABLNTPS,journalArticle,2022,"Roberts, PS; Schmid, J",Government-led innovation acceleration: Case studies of US federal government innovation and technology acceleration organizationsPalabras Clave(sic)(sic)(sic),REVIEW OF POLICY RESEARCH,,1541-132X,10.1111/ropr.12474,,"How can agencies that have operational activities as a primary focus improve the procurement and transition of innovative technologies, particularly from the private sector? This study seeks to inform scholars and public-sector managers about organizational design for innovation and technology acceleration using a systems approach. It examines three organizations responsible for mission-oriented innovation: In-Q-Tel, stood by up the Central Intelligence Agency; the FBI's Operational Technology Unit; and the National Institute for Occupational Safety and Health (NIOSH). It finds that collaboration and mission-inspiration can bridge public-private sector divides, but that distance from operators can slow technology adoption. It recommends establishing metrics for innovation investments and outcomes and gaining a better understanding of end user needs. Venture capital characteristics in quasi-government innovation organizations show promise but are untested outside of defense and intelligence. This study contributes to the literature by analyzing technology acceleration rather than initiation, development, adoption, or diffusion. It also adds to the study of technology acceleration in mission-oriented agencies that are less often the focus of R&D scholarship on big science.",2022-05,2/20/23 14:05,2/20/23 14:05,,353-378,,3,39,,,,,,,,,,English,,,,WOS:000766789700001,,,,,/Users/de51/Zotero/storage/XKFPCIPK/Roberts and Schmid - 2022 - Government-led innovation acceleration Case studi.pdf,,innovation; governance; MANAGEMENT; biotechnology; SCIENCE; POLICY; KNOWLEDGE; DETERMINANTS; DIFFUSION; EVOLUTION; high-tech; national governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U5FVZ3ZM,journalArticle,2009,"Rodder, S","Reassessing the concept of a medialization of science: a story from the ""book of life""",PUBLIC UNDERSTANDING OF SCIENCE,,0963-6625,10.1177/0963662507081168,,"The changing relationship between science and the mass media has been characterized in theory as a medialization of science. his paper argues that the concept of medialization should be further focused by differentiating two dimensions, an increasing media attention for scientific issues on the one hand and an increasing orientation of science towards the media on the other hand. his allows for observing changes with regard to science and the media separately. he concept is then supported empirically for the field of human genome research. British and German print media coverage of the final phase of the human genome sequencing has been studied using a quantitative content analysis. Triggered by its far-reaching implications, its ""Big Science"" nature and the competition of publicly and privately funded scientists to finish the first drafts of the human genome, human genome research is indicative of the medialization of science. It is therefore likely that the rationalities of the media system gain an influence on the research field or even beyond it.",2009-07,2/20/23 14:05,2/20/23 14:05,,452-463,,4,18,,,,,,,,,,English,,,,WOS:000267184500006,,,,,/Users/de51/Zotero/storage/8RE3L8LB/Rodder - 2009 - Reassessing the concept of a medialization of scie.pdf,,PRESS; content analysis; COVERAGE; human genome project; HUMAN-GENOME; MEDIA; medialization; MEDIATIZATION; NEWS; SEQUENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XQWYLGA2,journalArticle,2009,"Mittra, I",WHY IS MODERN MEDICINE STUCK IN A RUT?,PERSPECTIVES IN BIOLOGY AND MEDICINE,,0031-5982,,,"There is a growing perception that modern medicine is approaching a state of crisis characterized by creative inertia, non-innovation, and non-productivity. Compared to the remarkable progress during the first 30 years after World War 11, the last 30 years have been characterized by a self-congratulatory illusion of progress, the fruits of which have failed to reach Our patients. The problem may lie with the fact that the (often lone) clinical innovator of the past who made all the difference to the spectacular progress of medicine during the golden age has been marginalized to the extent that he is now an endangered species. The two definable forces that have led to his alienation are the hegemony of molecular science and the primacy accorded to the randomized clinical trial in biomedical research. Both these stifle creative originality-the former by an overdependence on complex and technology-driven ""big science"" and a flawed founding philosophy, and the latter by putting hunts on our intellectual expectations and a bureaucratic approach to scientific research.",2009,2/20/23 14:05,2/20/23 14:05,,500-517,,4,52,,,,,,,,,,English,,,,WOS:000271685200002,,,,,,,THERAPY; DRUG DEVELOPMENT; HUMAN BREAST; HUMAN CANCER; HUMAN LONGEVITY; KINASE GENE FAMILY; MYOCARDIAL-INFARCTION; RANDOMIZED-TRIALS; SOMATIC MUTATIONS; STEM-CELLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8M957LA,conferencePaper,2014,"Gao, SY; Ma, SY; Liu, B; Lv, RJ; Grami, B; Zhang, HF",The Configuration of Strategic Human Capital in Innovative Teams and Competitive Advantages of Firms: The Moderating Role of Team Spirit,Hebei University of Technology,2155-1847,,,,"This paper studies the basic configuration of strategic human capital in innovative (R&D) teams and explores the relationship between strategic human capital and firm competitive advantages. Based on theories of human capital and the resource-based view of firms (RBV), and by using team spirit and human-capital deployment as moderating variables, the study surveys 218 high-tech SMEs in Beijing-Tianjin-Hebei region with questionnaire and multiple regression analysis. The results show that the configuration of strategic human capital in innovative teams mainly includes: knowledge, professional skills, innovative ability, and team exclusiveness; strategic human capital of innovative teams accelerates firms' competitive advantages; team spirit has positive moderating effects on the relationship between strategic human capital and firms' competitive advantages, while the human-capital deployment has no significant adjusting effects. The study shows that, in today's ""Big Science"" era, through the cultivation of team spirit, strategic human capital in innovative teams can better promote a firm's competitive advantages, it also provides an perspective examination on how strategic human capital affects firms' competitive advantages as well.",2014,2/20/23 14:05,2/20/23 14:05,,937-942,,,,,,,,,,,,,English,,,,WOS:000365283500130,,,,,,,MODEL; PERFORMANCE; RESOURCES; INTEGRATION; competitive advantages; configuration; human-capital deployment; innovative teams; strategic human capital; team spirit,,"Lan, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE & ENGINEERING (ICMSE),,,,,,,,,,,,,,,
J7L3KU5T,journalArticle,2011,"Boisot, M",Generating knowledge in a connected world: The case of the ATLAS experiment at CERN,MANAGEMENT LEARNING,,1350-5076,10.1177/1350507611408676,,"The spatial challenges posed by the dynamics of globalization together with the availability of new information and communication technologies (ICTs) have fostered the development of virtual collaboration. Driven by organizational authority systems, however, much of this activity remains of a top-down, hierarchical nature. Although the proportion of bottom-up activity has increased, it has not displaced the top-down bias in the governance structures of firms and the formal processes that give them effect. Yet recent developments are challenging the organizational assumptions that underpin such structures and processes. In what follows, we first offer a theoretical perspective on the above questions and then illustrate it with a look at the way that the ATLAS experiment at CERN-one of the four experiments that are using the Large Hadron Collider (LHC)-is organized and managed. The ATLAS Collaboration-the team of physicists responsible for the experiment-consists of a culturally heterogeneous and loosely coupled population of agents, each operating in a different institutional setting. We shall use our theoretical perspective to interpret some of the issues raised by this kind of 'big science' experiment and discuss their implications for a broader class of organizations.",2011-09,2/20/23 14:05,2/20/23 14:05,,447-457,,4,42,,,,,,,,,,English,,,,WOS:000294490800006,,,,,/Users/de51/Zotero/storage/2Y7D5Q85/Boisot - 2011 - Generating knowledge in a connected world The cas.pdf,,communication technologies; knowledge flow; organizational coordination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP3DPFX,journalArticle,2009,"Deo, MG",Promoting S&T in rural India - challenges and plausible solutions,CURRENT SCIENCE,,0011-3891,,,"Lack of science and technology (S&T) education and research amenities is the root cause of rural backwardness resulting in villages being treated as 'colonies' for urban goods. Although tremendous strides have been made in S&T in post-independence India, development is mainly focused on creating big S&T institutions and upgrading S&T infrastructure in major cities ('big science', macro-S&T). Rural India, which still accounts for 70% of the nation's population, has been grossly ignored. There is an urgent need to implement the notion of 'small science' (micro-S&T) tailored for the rural sector to make villagers self-reliant. A beginning could be made by aggressively promoting outreach programmes in modern science education and research for young village students. Also, steps should be taken to establish a number of modest Rural Institute of Science Education and Research (sort of mini-IISER) spread all over the country with the ultimate goal of 'science for all'. In the present setting, competition between rural and urban youth is uneven and unjust. It is time we provide villagers a level playing field and take them on board as equal partners. This is the only way to prevent emergence of two sub-nations 'Bharat' and 'India'.",12/25/09,2/20/23 14:05,2/20/23 14:05,,1720-1725,,12,97,,,,,,,,,,English,,,,WOS:000273045600014,,,,,,,Outreach programmes; RISER; rural India; S&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5X6YVPT,journalArticle,2012,"Tschakert, P",From impacts to embodied experiences: tracing political ecology in climate change research,GEOGRAFISK TIDSSKRIFT-DANISH JOURNAL OF GEOGRAPHY,,0016-7223,10.1080/00167223.2012.741889,,"Political ecology has long moved on from its initial skepticism of big science engagements and cursory critiques of simplistic vulnerability approaches. Its core strengths lie in understanding the contestation of inequalities, marginalization, and injustices in access to and control over resources, neoliberal politics of environmental change, and dominant environmental narratives, while incorporating new insights from development ethics, feminist social theory, and resilience thinking. Today's theoretical lenses allow for an understanding of causal relations in climate debates that exceed narrowly defined impact studies. I focus on four areas that exemplify shifts in engagement with adaptation, stretch themes of inquiry, and delineate zones for analysis and action: (1) reconnecting scale: multiscalar interactions, scalar dimensions of practice, and traversing scales from embodied experiences to the global intimate; (2) destabilizing gender: from gendered vulnerability and adaptive capacity to fragmented identities and intersectionality; (3) repositioning persistent inequalities: from rights to responsibilities, mutual fragility, and human security; and (4) reframing certainty: from climate proofing to limits, traps, and transformative change. Methodologically, I advocate for opening space for collective and anticipatory learning, creative envisioning, rehearsing for reality, and dynamic planning in the context of multiple and synergistic stressors, all powerful countervoices to hegemonic integrated modeling and numeric vulnerability indices.",2012,2/20/23 14:05,2/20/23 14:05,,144-158,,2,112,,,,,,,,,,English,,,,WOS:000313497900007,,,,,/Users/de51/Zotero/storage/GTI999G7/Tschakert - 2012 - From impacts to embodied experiences tracing poli.pdf,,uncertainty; scale; GENDER; gender; ENVIRONMENTAL-CHANGE; GEOGRAPHY; ADAPTIVE CAPACITY; CHANGE ADAPTATION; cross-scalar causal relations; GOVERNANCE; inequalities; LIVELIHOODS; RESILIENCE; SCALE; transformational change; VULNERABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVG4EHW6,journalArticle,2022,"Cirac-Claveras, G",Re-imagining the space age: Early satellite development from Earthly fieldwork practice,SCIENCE AS CULTURE,,0950-5431,10.1080/09505431.2021.2001451,,"Imagining space technology has been influenced by (usually American-centred) turning points in rocketry, launchers, space exploration and human spaceflight: principally in terms of techno-bureaucratic Big Science products embedded in Cold War rivalry, military and prestige objectives. While this representation is useful to understand many developments of the space age, it has tended to downplay the role of natural history practices of data collection and interpretation in the development of space technology. The notion of sociotechnical imaginary helps to reveal a more complex and complete understanding of the history of space technology. Between 1967 and 1973, the vision of the French remote-sensing satellite as both enabled by and an extension of aircraft photo-interpretation helped to shape scientific and technological expectations of remote-sensing technology. In turn, the practices, values, and visions of aircraft photo-interpreters informed the development of satellite remote-sensing work. In particular, the fieldwork-driven research mode, focusing on data collection and field observations, was an important part of satellite technology development -a tie which remains strong today. Approaching remote-sensing satellite technology through historical research not only suggests a particular way of imagining space technology within the tradition of field science practices, discourses, and history, but also allows us to reflect on the power and limitations of prevalent imaginaries to fully understand the space age and its place in history.",4/3/22,2/20/23 14:05,2/20/23 14:05,,163-186,,2,31,,,,,,,,,,English,,,,WOS:000719180100001,,,,,/Users/de51/Zotero/storage/EG4YAPNM/Cirac-Claveras - 2022 - Re-imagining the space age Early satellite develo.pdf,,France; aerial photography; field sciences; GLOBAL VISIONS; history of technology; IMAGINARIES; remote-sensing satellites; Sociotechnical imaginaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPLR9CHK,journalArticle,1991,"BROWN, GW","SCIENCE POLICY, SCIENCE FUNDING, AND THE SCIENCE COMMUNITY",ACADEMIC MEDICINE,,1040-2446,10.1097/00001888-199107000-00001,,"The ongoing federal budget crisis has led to extensive debate over how much money the federal government should spend on scientific research.  In the struggle for limited funds, many advocacy groups will covet the large sums proposed for science research, and the scientific community may be called upon to justify its large share of the discretionary funding, especially the large increases for some science agencies and ""big science"" projects.  Many would instinctively support the assertion that scientific progress is a cornerstone of national well-being, but the connection between strong federal support of research and vigorous economic growth or societal vitality is not straightforward.  Two variables-science and technology, not science alone, are basic to the larger issues of the economy and social welfare.  Federal policy must facilitate development in coordination with support for basic science.  Scientists, in turn, must help foster a perspective that encompasses research and development as a whole and that seeks to identify explicitly the connections between the nature of the R&D effort and economic vitality and quality of life.  Furthermore, society needs a free flow of information between all members of the science and technology community and an end to the artificial and harmful barriers between them.  The science community must focus on setting priorities, refining science and technology policy to maximize available resources, and convincing voters that science can make crucial contributions to the long-term welfare of the nation.",1991-07,2/20/23 14:05,2/20/23 14:05,,375-379,,7,66,,,,,,,,,,English,,,,WOS:A1991FX10100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFJCXVS3,journalArticle,2022,"McCulloch, A",Serendipity in doctoral education: the importance of chance and the prepared mind in the PhD,JOURNAL OF FURTHER AND HIGHER EDUCATION,,0309-877X,10.1080/0309877X.2021.1905157,,"When Louis Pasteur remarked that chance favours the prepared mind, he was commenting on the important role played by serendipity in scientific discovery. That role is well known (most know of the story of Fleming's accidental discovery of penicillin) but much of the literature focuses on the STEM disciplines, on 'big' science, and concentrates on the work of established scientists. There is virtually no discussion of the role of serendipity in the doctoral research arena, an arena which contributes significantly to contemporary scientific endeavour and the associated publications. This article reports the initial results from a survey of doctoral students and PhD graduates which explores how serendipity contributes to the PhD process and also the forms serendipity takes in this arena. Following the conceptual differentiation of serendipity from accident or chance, the article explores the intersection of serendipity with doctoral research. Most respondents reported serendipitous occurrences happening in the doctoral experience, with the most important involving them stumbling across unexpected and unsearched-for literature, meeting others who proved to be significant for both their research and also their future development and careers, and finding project-related artefacts which expanded their projects and thinking. There were also reports of second-hand serendipity a hitherto uncommented on phenomenon. Many of the serendipitous occurrences involved a social context and actors other than the doctoral student, placing a focus on the researcher as someone with the ability and opportunities to make connections rather than simply relying on luck.",2/7/22,2/20/23 14:05,2/20/23 14:05,,258-271,,2,46,,,,,,,,,,English,,,,WOS:000838593000009,,,,,/Users/de51/Zotero/storage/NGWB4KTE/McCulloch - 2022 - Serendipity in doctoral education the importance .pdf,,Doctoral education; postgraduate research; research degrees; research process; serendipity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5RWAM2HY,journalArticle,2018,"Maasen, S",Human Brain Project: Ethics Management or Proceduralization of Reflexivity?,BERICHTE ZUR WISSENSCHAFTSGESCHICHTE,,0170-6233,10.1002/bewi.201801901,,"Everywhere, the reflexivity and responsibility of research and innovation is called for - the neurosciences being no exception. Undesirable side effects of scientific-technical developments should be recognized early on and opportunities for participation by non-scientific actors should be made available. In addition to the well-known reflective programs such as Technology Assessment, Public Understanding of Science, Ethical Legal and Social Implications (ELSI) of Science, Science Communication and Citizen Science, a new program is emerging: Responsible Research and Innovation (RRI). With the dimensions of anticipation, reflexivity, inclusiveness and responsiveness advocated here, social accountability of research has just been expanded again: factually (applying to the scientific practice of all domains), temporally (becoming more and more permanent) and socially (involving more and more actors). The following study will first reconstruct the current prominence of RRI as the dynamics of a changing relationship between science and society, then explore into the claim and reality of RRI as documented in publicly available material. The observation: While RRI at the level of its program aims at legitimacy through democratization of knowledge production, the organization of RRI demonstrates highly orchestrated bureaucratic arrangements and procedures. In the case of the Human Brain Project, it thus becomes clear that and how RRI is being put to the service of supporting neuroinformatic big science through targeted reductions: it is mainly framed as 'ethics management' and hardly integrated into research practice or even public discourse.",2018-09,2/20/23 14:05,2/20/23 14:05,,222-237,,3,41,,,,,,,,,,German,,,,WOS:000443548700002,,,,,/Users/de51/Zotero/storage/Z2D2TGQW/Maasen - 2018 - Human Brain Project Ethics Management or Procedur.pdf,,INNOVATION; ethics management; neurotechnology; responsibility; social contract with science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F697JW69,conferencePaper,2014,"Crosby, P",Success in large high-technology projects: what really works?,Commonwealth Scientific & Industrial Research Organisation (CSIRO),0277-786X,,10.1117/12.2057972,,"Despite a plethora of tools, technologies and management systems, successful execution of big science and engineering projects remains problematic. The sheer scale of globally funded projects such as the Large Hadron Collider and the Square Kilometre Array telescope means that lack of project success can impact both on national budgets, and collaborative reputations. In this paper, I explore data from contemporary literature alongside field research from several current high-technology projects in Europe and Australia, and reveal common 'pressure points' that are shown to be key influencers of project control and success. I discuss the how mega-science projects sit between being merely complicated, and chaotic, and explain the importance of understanding multiple dimensions of project complexity. Project manager/leader traits are briefly discussed, including capability to govern and control such enterprises. Project structures are examined, including the challenge of collaborations. I show that early attention to building project resilience, curbing optimism, and risk alertness can help prepare large high-tech projects against threats, and why project managers need to understand aspects of 'the silent power of time'. Mission assurance is advanced as a critical success function, alongside the deployment of task forces and new combinations of contingency plans. I argue for increased project control through industrial-style project reviews, and show how post-project reviews are an under-used, yet invaluable avenue of personal and organisational improvement. Lastly, I discuss the avoidance of project amnesia through effective capture of project knowledge, and transfer of lessons-learned to subsequent programs and projects.",2014,2/20/23 14:05,2/20/23 14:05,,,,,9150,,,,,,,,,,English,,,,WOS:000343032800002,,,,,,,project management; risk; project success; complexity; mega-project; collaborations; Black Swan; resilience; taskforce; urgency,,"Angeli, GZ; Dierickx, P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MODELING, SYSTEMS ENGINEERING, AND PROJECT MANAGEMENT FOR ASTRONOMY VI",,,,,,,,,,,,,,,
